Topic,Count,Name,Representation,Representative_Docs
-1,2346,-1_国_大臣_中_省,"['国', '大臣', '中', '省', '環境', '日米', 'ふう', '御', '国務', '国際']","['○国務大臣（浜田靖一君）おっしゃるとおり最高そういった場合に八隻というのは何かもうそれは当然これは考えられることでございますけれども我々とすれば常にこの地域周辺の国際状況も踏まえて当然主たる任務である我が国の防衛を担う体制をしっかりと確保しそして我々のできる形の中で今回の派遣を決めているわけでございますのでこの今先生の御懸念のようなことは当たらないというふうに私自身は思っておるところでございます', 'それが今後様々な対応の中で活動するわけですがそれにおいても現在と何か大きく変更するというわけではなくてあくまでも我が国防衛の延長だというふうに理解をしていただければと思っております', '今後我が国においては国家安全保障戦略を始めとする三文書の見直し等を通じて我が国の外交・安全保障について考えていかなければならないわけですがその中で当然我が国の防衛力の強化これはしっかり考えていかなければなりませんが日米同盟を始めとするこの我が国の我が国の安全を守るこの日米同盟の抑止力対処力これについてもしっかり内容を議論していかなければなりません']"
0,4742,0_国_大臣_中_省,"['国', '大臣', '中', '省', '環境', '御', '国際', '国務', '国民', '日米']","['我が国を取り巻く安全保障環境が一層厳しさを増す中米国の拡大抑止これは我が国の安全保障にとって極めて重要です', '○岸田内閣総理大臣申し上げているように我が国は戦後最も複雑でそして厳しい安全保障環境の中にありその中で国民の命や暮らしを守るために防衛力の強化これを行っていきたいと考えています', '○岸田内閣総理大臣まず日米同盟は我が国の外交安全保障の基軸であり我々はこの同盟関係に信頼を寄せておりますが我が国をめぐる安全保障環境ミサイルに関する技術急速なスピードで変化進化しているそういった中で国民の命や暮らしを守るために我が国自体十分な備えができているかどうかこれは問題意識を持って取り組まなければならない']"
1,115,1_台湾_社会_海峡_国際,"['台湾', '社会', '海峡', '国際', '挑発', '全体', '脅威', '国', '行為', '一連']","['台湾海峡の平和と安定は我が国の安全保障はもとより国際社会全体の安定にとっても重要です', 'その上で台湾海峡の平和と安定は我が国の安全保障はもとより国際社会全体の安定にとっても重要であります', '台湾海峡の平和と安定は我が国の安全保障はもとより国際社会全体の安定にとっても重要です']"
2,37,2_事故_再発_存立_住民,"['事故', '再発', '存立', '住民', '職責', '省', '原因', '重み', '墜落', 'ヘリコプター']","['今月五日でありますが佐賀県において発生した自衛隊ヘリコプターの墜落事故につきましては国民の命と平和な暮らしを守るべき自衛隊が住民の方々の安全を脅かし多大な被害を生じさせたことは極めて遺憾であり心からおわびを申し上げます', '○小野寺国務大臣昨日佐賀県で発生いたしました自衛隊ヘリコプターの墜落事故につきましては国民の命と平和な暮らしを守るべき自衛隊が住民の方々の安全を脅かし多大な被害を生じさせたことは極めて遺憾に思います', '○小野寺国務大臣昨日佐賀県におきまして発生しました自衛隊ヘリコプターの墜落事故につきましては国民の命と平和な暮らしを守るべき自衛隊が住民の方々の安全を脅かし多大な被害を生じさせたことは極めて遺憾であります']"
3,29,3_所存_課題_全力_省,"['所存', '課題', '全力', '省', '災害', 'ウクライナ', '救援', '大臣', '援助', 'コロナ']","['以上申し述べましたように防衛省・自衛隊が直面する課題は山積みしており私は防衛大臣としてこうした課題に全力で取り組んでまいる所存です', '以上申し述べましたように防衛省・自衛隊が直面する課題は山積しており私は防衛大臣としてこうした課題に全力で取り組んでまいる所存です', '以上申し述べましたように防衛省・自衛隊が直面する課題は山積しており私は防衛大臣としてこうした課題に全力で取り組んでまいる所存です']"
4,25,4_能動_分野_外交_未然,"['能動', '分野', '外交', '未然', '国力', '危機', '交渉', '最大', '国際', '帰属']","['外交力防衛力を含む総合的な国力これを最大限活用しつつ力強い外交を展開し危機を未然に防ぎ平和で安定した国際環境を能動的に創出していく考えであります', '外交力防衛力を含む総合的な国力を最大限活用しつつ強い外交を展開し危機を未然に防ぎ平和で安定した国際環境を能動的に創出していくことが重要であると認識をしております', '外交力防衛力を含む総合的な国力を最大限活用しつつ力強い外交を展開し危機を未然に防ぎ平和で安定した国際環境を能動的に創出をしていく考えでございます']"
5,21,5_御_庁_ふう_観点,"['御', '庁', 'ふう', '観点', '省', '本件', '沖縄', '閣議', '書', '制度']","['こうした点をさらに明確にすることが適切だろうという観点から本制度におきましてはこの契約書では研究成果の公表を制限しないことなどを明らかにするということでその契約書のひな形などは防衛装備庁のホームページにも公表させていただいているところでございますので委員の御指摘にはちょっと当たらないかなというふうに考えているところでございます', '冒頭御質問でありましたように県民の民意を軽視して琉球処分のように沖縄を切り捨てても構わないという考えがあるのではないかというお尋ねでございますが決してそういうことはなくてこれは行政不服審査法という法律がございますので農林水産省は本件の審査庁というふうになっておりますので沖縄防衛局とそれから沖縄県双方から提出された書面を慎重に審査いたしまして執行停止の決定を行ったということでございますのでそこは御理解をいただきたいこういうふうに思っておるところでございます', '冒頭御質問でありましたように県民の民意を軽視して琉球処分のように沖縄を切り捨てても構わないという考えがあるのではないかというお尋ねでございますが決してそういうことはなくてこれは行政不服審査法という法律がございますので農林水産省は本件の審査庁というふうになっておりますので沖縄防衛局とそれから沖縄県双方から提出された書面を慎重に審査いたしまして執行停止の決定を行ったということでございますのでそこは御理解をいただきたいこういうふうに思っておるところでございます']"
6,16,6_外交_裏づけ_レベル_首脳,"['外交', '裏づけ', 'レベル', '首脳', '積極', '', '', '', '', '']","['同時に外交には裏付けとなる防衛力が必要です', '同時に外交には裏付けとなる防衛力が必要です', '同時に外交には裏付けとなる防衛力が必要であります']"
7,12,7_そば_人間_とかく_費,"['そば', '人間', 'とかく', '費', '自身', '世の中', '間', '目', '本当', '世界']","['ただ足らざるところを足すという意味では安全保障に対して軍事とかということに対してやはりそばにいて教える人間がいないとだめなのかなというのをつくづく思ったんですよ', 'ただ足らざるところを足すという意味では安全保障に対して軍事とかということに対してやはりそばにいて教える人間がいないとだめなのかなというのをつくづく思ったんですよ', 'ただ足らざるところを足すという意味では安全保障に対して軍事とかということに対してやはりそばにいて教える人間がいないとだめなのかなというのをつくづく思ったんですよ']"
8,11,8_ワクチン_医療_国内_体制,"['ワクチン', '医療', '国内', '体制', '薬', '問題', '治療', 'リスク', '法制', '']","['ワクチンを国内で開発生産できる体制を確立しておくことは極めて重要と考えており医療に関わる経済安全保障にもつながるものです', 'ワクチンを国内で開発生産できる体制を確立しておくことは極めて重要と考えており医療に関わる経済安全保障にもつながるものです', 'ワクチンを国内で開発生産できる体制を確立しておくことは極めて重要と考えており医療に関わる経済安全保障にもつながるものです']"
